종목코드,종목명,종가,대비,등락률,상장시가총액
"005930","삼성전자","70800","500","0.71","4.22660605E8"
"373220","LG에너지솔루션","508000","-1000","-0.20","1.18872E8"
"000660","SK하이닉스","115900","2200","1.93","8.4375474E7"
"207940","삼성바이오로직스","734000","10000","1.38","5.2241716E7"
"005490","POSCO홀딩스","570000","-13000","-2.23","4.8205601E7"
"051910","LG화학","561000","-3000","-0.53","3.9602304E7"
"006400","삼성SDI","573000","-16000","-2.72","3.9402076E7"
"005380","현대차","185500","-200","-0.11","3.9239094E7"
"035420","NAVER","211500","-3500","-1.63","3.4696381E7"
"003670","포스코퓨처엠","407500","-10500","-2.51","3.1566262E7"
"000270","기아","77600","-200","-0.26","3.119863E7"
"105560","KB금융","55200","1100","2.03","2.2273811E7"
"068270","셀트리온","149300","1800","1.22","2.1857934E7"
"012330","현대모비스","230500","-5000","-2.12","2.1732714E7"
"035720","카카오","48250","0","0.00","2.1443315E7"
"028260","삼성물산","108400","500","0.46","2.0118137E7"
"055550","신한지주","36450","700","1.96","1.8893752E7"
"066570","LG전자","99200","400","0.40","1.6233863E7"
"096770","SK이노베이션","167900","-3100","-1.81","1.5524968E7"
"047050","포스코인터내셔널","79000","-1000","-1.25","1.38979E7"
"032830","삼성생명","69900","1500","2.19","1.398E7"
"003550","LG","84100","200","0.24","1.3229014E7"
"000810","삼성화재","267000","8000","3.09","1.2649081E7"
"033780","KT&G","88700","200","0.23","1.2177844E7"
"323410","카카오뱅크","24700","-250","-1.00","1.1776148E7"
"086790","하나금융지주","40700","550","1.37","1.1898914E7"
"015760","한국전력","18240","-180","-0.98","1.1709425E7"
"329180","HD현대중공업","128700","3500","2.80","1.14251E7"
"138040","메리츠금융지주","55300","300","0.55","1.1514448E7"
"018260","삼성에스디에스","144900","-2300","-1.56","1.1212043E7"
"034020","두산에너빌리티","17220","370","2.20","1.1030463E7"
"034730","SK","147300","400","0.27","1.0782114E7"
"017670","SK텔레콤","48800","50","0.10","1.0679057E7"
"010130","고려아연","538000","-2000","-0.37","1.0686379E7"
"352820","하이브","244500","-1000","-0.41","1.0183938E7"
"009150","삼성전기","138500","-700","-0.50","1.0345077E7"
"316140","우리금융지주","12100","100","0.83","9202477.0"
"010950","S-Oil","78700","700","0.90","8860266.0"
"024110","기업은행","11060","140","1.28","8819530.0"
"009540","HD한국조선해양","120800","2000","1.68","8549392.0"
"003490","대한항공","22550","-200","-0.88","8303376.0"
"011200","HMM","16640","-170","-1.01","8137617.0"
"030200","KT","31200","-1150","-3.55","8045256.0"
"001570","금양","131300","-4900","-3.60","7621970.0"
"090430","아모레퍼시픽","130100","0","0.00","7609908.0"
"042660","한화오션","35300","700","2.02","7655631.0"
"259960","크래프톤","153000","-600","-0.39","7399500.0"
"010140","삼성중공업","8400","170","2.07","7392000.0"
"051900","LG생활건강","457000","-5500","-1.19","7137516.0"
"326030","SK바이오팜","87000","5100","6.23","6813253.0"
"086280","현대글로비스","173600","700","0.40","6510000.0"
"028050","삼성엔지니어링","32850","-200","-0.61","6438600.0"
"000100","유한양행","79900","6900","9.45","6123429.0"
"012450","한화에어로스페이스","121800","4500","3.84","6166734.0"
"005830","DB손해보험","87100","2300","2.71","6166680.0"
"011170","롯데케미칼","138200","-1100","-0.79","5911563.0"
"011070","LG이노텍","248500","4000","1.64","5881276.0"
"377300","카카오페이","43700","-850","-1.91","5860007.0"
"361610","SK아이이테크놀로지","81500","-1200","-1.45","5810754.0"
"267250","HD현대","70800","3300","4.89","5592710.0"
"009830","한화솔루션","33250","-150","-0.45","5715427.0"
"402340","SK스퀘어","40150","-1600","-3.83","5679923.0"
"302440","SK바이오사이언스","73400","500","0.69","5635949.0"
"036570","엔씨소프트","246500","2000","0.82","5411666.0"
"241560","두산밥캣","53700","800","1.51","5383380.0"
"004020","현대제철","38100","-850","-2.18","5084284.0"
"047810","한국항공우주","50700","400","0.80","4941988.0"
"034220","LG디스플레이","13130","40","0.31","4698120.0"
"271560","오리온","123000","-400","-0.32","4862944.0"
"161390","한국타이어앤테크놀로지","38350","-450","-1.16","4750609.0"
"018880","한온시스템","9000","-20","-0.22","4804200.0"
"383220","F&F","118000","5400","4.80","4520235.0"
"032640","LG유플러스","10320","-50","-0.48","4505829.0"
"097950","CJ제일제당","294000","-3500","-1.18","4425931.0"
"000720","현대건설","36350","450","1.25","4047782.0"
"006800","미래에셋증권","6850","-40","-0.58","4146417.0"
"251270","넷마블","46250","3750","8.82","3975349.0"
"011780","금호석유","129900","700","0.54","3807929.0"
"128940","한미약품","301000","2500","0.84","3781210.0"
"078930","GS","40050","350","0.88","3721261.0"
"029780","삼성카드","30700","150","0.49","3556868.0"
"010620","현대미포조선","90800","3600","4.13","3626747.0"
"008770","호텔신라","89900","1800","2.04","3528406.0"
"005940","NH투자증권","10210","-80","-0.78","3386309.0"
"064350","현대로템","31100","400","1.30","3394325.0"
"035250","강원랜드","15870","70","0.44","3395236.0"
"016360","삼성증권","37600","250","0.67","3357680.0"
"011790","SKC","82800","-1300","-1.55","3135495.0"
"006260","LS","96500","1000","1.05","3107300.0"
"071050","한국금융지주","53400","300","0.56","2975768.0"
"001450","현대해상","32850","900","2.82","2936790.0"
"021240","코웨이","41850","-150","-0.36","3088514.0"
"003410","쌍용C&E","5600","30","0.54","2821614.0"
"180640","한진칼","42250","-400","-0.94","2820706.0"
"010120","LS ELECTRIC","96000","3300","3.56","2880000.0"
"282330","BGF리테일","150100","-3500","-2.28","2594314.0"
"002790","아모레G","33250","400","1.22","2741734.0"
"004990","롯데지주","25450","650","2.62","2669940.0"
"004370","농심","433500","-5500","-1.25","2636825.0"
"039490","키움증권","101100","-1000","-0.98","2651520.0"
"001040","CJ","86900","3500","4.20","2535481.0"
"007070","GS리테일","24200","-50","-0.21","2534174.0"
"112610","씨에스윈드","58600","-600","-1.01","2471244.0"
"052690","한전기술","63400","200","0.32","2423148.0"
"081660","휠라홀딩스","39400","350","0.90","2393638.0"
"111770","영원무역","57000","1300","2.33","2525754.0"
"000150","두산","149100","32300","27.65","2463704.0"
"272210","한화시스템","13550","240","1.80","2559858.0"
"000990","DB하이텍","51200","-300","-0.58","2273208.0"
"008930","한미사이언스","33600","350","1.05","2350553.0"
"028670","팬오션","4310","25","0.58","2303995.0"
"036460","한국가스공사","24900","0","0.00","2298594.0"
"088350","한화생명","2695","195","7.80","2340688.0"
"138930","BNK금융지주","6950","100","1.46","2238515.0"
"004170","신세계","215000","4000","1.90","2116714.0"
"012750","에스원","55600","-400","-0.71","2112754.0"
"298050","효성첨단소재","456500","5500","1.22","2045096.0"
"030000","제일기획","19140","-30","-0.16","2201889.0"
"042670","HD현대인프라코어","10600","470","4.64","2115797.0"
"023530","롯데쇼핑","73400","400","0.55","2076395.0"
"000880","한화","25400","200","0.79","1903952.0"
"002380","KCC","225500","1000","0.45","2003899.0"
"014680","한솔케미칼","165500","-2900","-1.72","1875975.0"
"020150","롯데에너지머티리얼즈","44000","-550","-1.23","2028877.0"
"204320","HL만도","40450","-400","-0.98","1899416.0"
"079550","LIG넥스원","85100","300","0.35","1872200.0"
"139480","이마트","71900","-500","-0.69","2004271.0"
"175330","JB금융지주","10270","170","1.68","2023014.0"
"047040","대우건설","4520","70","1.57","1878614.0"
"026960","동서","17310","-20","-0.12","1725807.0"
"000120","CJ대한통운","80800","-300","-0.37","1843237.0"
"001440","대한전선","13240","250","1.92","1647682.0"
"001740","SK네트웍스","6530","0","0.00","1539632.0"
"004000","롯데정밀화학","60000","-2500","-4.00","1548000.0"
"005850","에스엘","34250","-250","-0.72","1590862.0"
"011210","현대위아","55600","300","0.54","1512047.0"
"336260","두산퓨얼셀","24550","550","2.29","1607871.0"
"051600","한전KPS","33650","300","0.90","1514250.0"
"069960","현대백화점","69300","1400","2.06","1621789.0"
"137310","에스디바이오센서","13170","380","2.97","1639037.0"
"192820","코스맥스","145400","100","0.07","1650219.0"
"298020","효성티앤씨","368000","7500","2.08","1592587.0"
"017800","현대엘리베이","41900","0","0.00","1637971.0"
"000080","하이트진로","19540","40","0.21","1370411.0"
"003230","삼양식품","188800","1600","0.85","1422233.0"
"004800","효성","63400","300","0.48","1335903.0"
"005420","코스모화학","39450","-1450","-3.55","1381075.0"
"120110","코오롱인더","48250","-600","-1.23","1327796.0"
"007310","오뚜기","367000","5000","1.38","1470874.0"
"009420","한올바이오파마","27050","2750","11.32","1413109.0"
"010060","OCI홀딩스","90300","1400","1.57","1482062.0"
"006280","녹십자","115600","2600","2.30","1350964.0"
"005300","롯데칠성","129100","-2000","-1.53","1197904.0"
"006360","GS건설","14660","260","1.81","1254625.0"
"009240","한샘","56300","-500","-0.88","1324960.0"
"069620","대웅제약","108800","4000","3.82","1260619.0"
"375500","DL이앤씨","31500","350","1.12","1218849.0"
"139130","DGB금융지주","7770","220","2.91","1314263.0"
"161890","한국콜마","53700","200","0.37","1228719.0"
"185750","종근당","93800","6400","7.32","1178922.0"
"073240","금호타이어","4545","-80","-1.73","1305598.0"
"000240","한국앤컴퍼니","11250","90","0.81","1068021.0"
"000670","영풍","533000","-5000","-0.93","981807.0"
"001120","LX인터내셔널","29500","-200","-0.67","1143420.0"
"009900","명신산업","19970","180","0.91","1047829.0"
"285130","SK케미칼","61700","-200","-0.32","1064558.0"
"093370","후성","10950","-750","-6.41","1033156.0"
"103140","풍산","36150","1150","3.29","1013078.0"
"114090","GKL","17690","150","0.86","1094227.0"
"280360","롯데웰푸드","111100","-1500","-1.33","1048181.0"
"032350","롯데관광개발","14300","-620","-4.16","1055829.0"
"000210","DL","38850","150","0.39","814136.0"
"300720","한일시멘트","12620","150","1.20","874081.0"
"003090","대웅","14750","570","4.02","857594.0"
"004490","세방전지","61800","500","0.82","865200.0"
"006650","대한유화","141100","-400","-0.28","917150.0"
"010780","아이에스동서","31150","-300","-0.95","962305.0"
"014820","동원시스템즈","32350","-1550","-4.57","937868.0"
"016380","KG스틸","8480","60","0.71","848075.0"
"019170","신풍제약","17080","200","1.18","904984.0"
"020560","아시아나항공","10810","-10","-0.09","804391.0"
"069260","TKG휴켐스","21600","-300","-1.37","882978.0"
"105630","한세실업","21600","800","3.85","864000.0"
"178920","PI첨단소재","27700","-1250","-4.32","813447.0"
"271940","일진하이솔루스","24200","150","0.62","878779.0"
"001800","오리온홀딩스","15190","10","0.07","951584.0"
"001680","대상","18040","-140","-0.77","625050.0"
"003240","태광산업","587000","1000","0.17","653566.0"
"003850","보령","10120","350","3.58","695143.0"
"005250","녹십자홀딩스","14640","270","1.88","688493.0"
"294870","HDC현대산업개발","10300","120","1.18","678845.0"
"031430","신세계인터내셔날","19910","640","3.32","710787.0"
"039130","하나투어","47300","-400","-0.84","758653.0"
"192080","더블유게임즈","41100","150","0.37","747640.0"
"008730","율촌화학","30850","-250","-0.80","765080.0"
"013890","지누스","25550","-250","-0.97","482912.0"
"020000","한섬","19460","-40","-0.21","479300.0"
"381970","케이카","11770","-340","-2.81","565978.0"
"284740","쿠쿠홈시스","21650","-50","-0.23","485768.0"
"057050","현대홈쇼핑","44150","200","0.46","529800.0"